X,Y,Country,Admin1,Facility_n,Facility_t,Ownership,Lat,Long,LL_source,ObjectId
3375741.29440786,-144304.63363367,Rwanda,East,Nyagatare Health Centre,Health Centre,Public,-1.2962,30.3248,GPS,112
3359533.17654836,-170929.270765952,Rwanda,East,Nyagihanga Health Centre,Health Centre,Public,-1.5353,30.1792,GPS,113
3404250.21600002,-204762.839869361,Rwanda,East,Nyakabungo Health Centre,Health Centre,Public,-1.8391,30.5809,GPS,114
3367871.00640878,-226705.336161665,Rwanda,East,Nyakaliro Health Centre,Health Centre,Public,-2.0361,30.2541,GPS,115
3377789.57303846,-160138.777732365,Rwanda,East,Nyakigando (Nyagatare) Health Centre,Health Centre,Public,-1.4384,30.3432,GPS,116
3348479.15111258,-238100.882265354,Rwanda,East,Nyamata District Hospital,District Hospital,Public,-2.1384,30.0798999999999,GPS,117
3349737.06135855,-239047.759957009,Rwanda,East,Nyamata Health Centre,Health Centre,Public,-2.1469,30.0912,GPS,118
3397381.80341807,-217293.139883637,Rwanda,East,Nyamirama Health Centre,Health Centre,Public,-1.9516,30.5192,GPS,119
3381095.76191502,-235015.211253126,Rwanda,East,Nyange Health Centre,Health Centre,Public,-2.1107,30.3729,GPS,120
3423998.29366674,-242022.104230314,Rwanda,East,Nyarubuye (kirehe) Health Centre,Health Centre,Public,-2.1736,30.7582999999999,GPS,121
3341855.64141038,-256059.056384983,Rwanda,East,Nyarugenge Health Centre,Health Centre,Public,-2.2996,30.0203999999999,Geonames,122
3357963.57172817,-156430.697078401,Rwanda,East,Nyarurema Health Centre,Health Centre,Public,-1.4051,30.1650999999999,GPS,123
3372791.32790184,-135018.361460649,Rwanda,East,Nyendo (Nyagatare) Health Post,Health Post,Public,-1.2128,30.2983,Geonames,124
3369106.65275658,-260493.205199948,Rwanda,East,Nzangwa Health Centre,Health Centre,Public,-2.3394,30.2652,GPS,125
3377110.52414462,-225602.580346035,Rwanda,East,Nzige Health Centre,Health Centre,Public,-2.0262,30.3371,GPS,126
3401478.36067927,-231706.80916834,Rwanda,East,Remera Health Centre,Health Centre,Public,-2.081,30.556,GPS,127
3365177.07473158,-240273.138907484,Rwanda,East,Rilima Health Centre,Health Centre,Public,-2.1579,30.2299,GPS,128
3376487.13499617,-242924.4437628,Rwanda,East,Rubona (ngoma) Health Post,Health Post,Public,-2.1817,30.3314999999999,Geonames,129
3383745.16579589,-226983.810922487,Rwanda,East,Rubona (rwamagana) Health Centre,Health Centre,Public,-2.0386,30.3966999999999,GPS,130
3385292.50671791,-189315.454389643,Rwanda,East,Rugarama (gatsibo) Health Centre,Health Centre,Public,-1.7004,30.4105999999999,GPS,131
3345662.76799552,-257239.998419197,Rwanda,East,Ruhuha Health Centre,Health Centre,Public,-2.3102,30.0546,GPS,132
